iter	Passed	Remaining
228	495	1669
229	497	1666
230	500	1664
231	502	1662
232	504	1659
233	506	1657
234	508	1655
235	510	1652
236	512	1648
237	514	1646
238	516	1643
239	518	1641
240	520	1637
241	521	1634
242	523	1632
243	526	1629
244	527	1626
245	530	1624
246	532	1622
247	534	1619
248	535	1616
249	537	1613
250	540	1612
251	542	1609
252	544	1608
253	546	1605
254	548	1603
255	550	1600
256	552	1598
257	555	1596
258	557	1594
259	559	1593
260	562	1591
261	564	1589
262	566	1588
263	568	1585
264	571	1584
265	573	1581
266	575	1580
267	577	1577
268	579	1575
269	581	1572
270	583	1570
271	585	1568
272	588	1566
273	590	1565
274	593	1563
275	595	1561
276	597	1559
277	599	1556
278	601	1554
279	603	1552
280	606	1551
281	608	1548
282	610	1546
283	612	1544
284	614	1541
285	616	1539
286	618	1537
287	621	1535
288	623	1533
289	625	1531
290	627	1529
291	629	1527
292	632	1525
293	633	1522
294	636	1520
295	638	1518
296	640	1516
297	642	1513
298	644	1511
299	646	1509
300	648	1506
301	651	1504
302	653	1503
303	655	1500
304	657	1498
305	659	1496
306	661	1493
307	663	1491
308	665	1489
309	667	1486
310	669	1484
311	671	1481
312	673	1478
313	675	1476
314	677	1473
315	679	1471
316	682	1469
317	683	1466
318	685	1463
319	687	1461
320	689	1458
321	691	1455
322	693	1452
323	695	1450
324	697	1448
325	699	1446
326	701	1443
327	703	1441
328	705	1439
329	707	1436
330	709	1433
331	711	1431
332	713	1429
333	715	1426
334	717	1424
335	719	1422
336	721	1419
337	723	1416
338	725	1415
339	727	1412
340	729	1410
341	731	1408
342	733	1405
343	735	1402
344	737	1399
345	739	1397
346	741	1395
347	743	1392
348	744	1389
349	746	1386
350	748	1383
351	750	1380
352	751	1378
353	753	1375
354	755	1373
355	757	1370
356	759	1368
357	761	1365
358	763	1362
359	765	1360
360	766	1357
361	769	1355
362	771	1353
363	773	1351
364	775	1348
365	777	1346
366	778	1343
367	780	1340
368	782	1338
369	784	1336
370	786	1334
371	788	1331
372	790	1329
373	793	1327
374	794	1324
375	796	1322
376	798	1320
377	800	1317
378	802	1314
379	804	1312
380	806	1309
381	807	1307
382	809	1304
383	811	1302
384	813	1299
385	815	1297
386	817	1295
387	819	1292
388	821	1289
389	822	1287
390	824	1284
391	827	1282
392	828	1280
393	831	1278
394	832	1275
395	834	1273
396	836	1270
397	838	1267
398	840	1265
399	842	1263
400	844	1261
401	846	1259
402	848	1257
403	850	1254
404	852	1252
405	854	1249
406	856	1247
407	857	1244
408	859	1242
409	861	1239
410	863	1237
411	865	1234
412	866	1232
413	868	1229
414	870	1227
415	872	1224
416	874	1222
417	876	1220
418	878	1217
419	879	1214
420	881	1212
421	883	1210
422	885	1207
423	887	1205
424	889	1203
425	891	1200
426	893	1198
427	895	1196
428	897	1194
429	899	1191
430	901	1189
431	902	1187
432	905	1185
433	907	1183
434	909	1180
435	910	1178
436	912	1176
437	914	1173
438	916	1171
439	918	1168
440	920	1166
441	922	1164
442	924	1161
443	926	1159
444	927	1157
445	929	1154
446	931	1152
447	933	1150
448	935	1147
449	937	1145
450	938	1143
451	940	1140
452	942	1138
453	944	1135
454	946	1133
455	947	1130
456	949	1128
457	951	1126
458	953	1124
459	955	1121
460	957	1119
461	959	1116
462	960	1114
463	962	1112
464	964	1109
465	966	1107
466	968	1105
467	970	1103
468	972	1100
469	973	1098
470	975	1095
471	977	1093
472	979	1091
473	981	1088
474	983	1086
475	984	1084
476	987	1082
477	988	1080
478	990	1077
479	992	1075
480	995	1073
481	997	1071
482	999	1069
483	1001	1067
484	1003	1065
485	1004	1062
486	1006	1060
487	1008	1058
488	1011	1056
489	1013	1054
490	1015	1052
491	1017	1050
492	1019	1048
493	1021	1046
494	1023	1044
495	1026	1042
496	1028	1040
497	1029	1038
498	1031	1035
499	1033	1033
500	1035	1031
501	1037	1029
502	1040	1027
503	1042	1025
504	1044	1023
505	1046	1021
506	1048	1019
507	1050	1017
508	1052	1014
509	1054	1012
510	1056	1010
511	1058	1008
512	1060	1006
513	1061	1003
514	1063	1001
515	1065	999
516	1067	996
517	1069	994
518	1071	992
519	1073	990
520	1075	988
521	1077	986
522	1079	984
523	1081	982
524	1083	979
525	1085	977
526	1087	975
527	1089	973
528	1091	971
529	1092	969
530	1094	966
531	1096	964
532	1098	962
533	1100	960
534	1102	958
535	1104	956
536	1106	953
537	1107	951
538	1109	949
539	1111	946
540	1113	944
541	1115	942
542	1117	940
543	1119	938
544	1120	935
545	1122	933
546	1124	931
547	1126	929
548	1128	926
549	1130	924
550	1132	922
551	1134	920
552	1136	918
553	1137	916
554	1139	913
555	1141	911
556	1143	909
557	1145	907
558	1147	905
559	1149	902
560	1150	900
561	1152	898
562	1154	895
563	1156	893
564	1158	891
565	1160	889
566	1162	887
567	1164	885
568	1166	883
569	1167	881
570	1169	878
571	1171	876
572	1173	874
573	1175	872
574	1177	870
575	1179	868
576	1181	866
577	1184	864
578	1186	862
579	1188	860
580	1190	858
581	1192	856
582	1194	854
583	1197	852
584	1199	850
585	1201	849
586	1203	846
587	1206	845
588	1208	843
589	1210	841
590	1212	839
591	1214	836
592	1216	834
593	1218	832
594	1220	830
595	1222	828
596	1224	826
597	1226	824
598	1228	822
599	1230	820
600	1232	818
601	1234	815
602	1236	814
603	1238	811
604	1240	809
605	1242	807
606	1244	805
607	1245	803
608	1247	801
609	1250	799
610	1251	797
611	1253	794
612	1255	792
613	1257	790
614	1259	788
615	1261	786
616	1263	784
617	1266	782
618	1268	780
619	1270	778
620	1273	777
621	1275	775
622	1277	773
623	1279	771
624	1282	769
625	1284	767
626	1286	765
627	1288	762
628	1289	760
629	1291	758
630	1294	756
631	1297	755
632	1299	753
633	1301	751
634	1303	749
635	1305	747
636	1307	744
637	1309	742
638	1311	740
639	1313	738
640	1315	736
641	1317	734
642	1319	732
643	1321	730
644	1323	728
645	1326	726
646	1328	724
647	1330	722
648	1332	720
649	1334	718
650	1336	716
651	1338	714
652	1340	712
653	1342	710
654	1344	708
655	1346	706
656	1348	704
657	1350	701
658	1352	699
659	1354	697
660	1356	695
661	1358	693
662	1360	691
663	1362	689
664	1364	687
665	1366	685
666	1368	683
667	1370	680
668	1372	679
669	1374	676
670	1376	674
671	1378	672
672	1380	670
673	1383	668
674	1385	666
675	1387	664
676	1389	662
677	1391	660
678	1393	659
679	1396	657
680	1398	654
681	1400	652
682	1402	651
683	1404	649
684	1407	647
685	1409	644
686	1411	642
687	1413	640
688	1415	638
689	1418	637
690	1420	635
691	1422	633
692	1424	631
693	1427	629
694	1429	627
695	1432	625
696	1434	623
697	1436	621
698	1438	619
699	1440	617
700	1442	615
701	1444	613
702	1446	611
703	1449	609
704	1451	607
705	1453	605
706	1455	603
707	1457	600
708	1459	598
709	1461	596
710	1463	594
711	1465	592
712	1467	590
713	1469	588
714	1471	586
715	1473	584
716	1475	582
717	1477	580
718	1480	578
719	1482	576
720	1484	574
721	1486	572
722	1488	570
723	1490	568
724	1492	566
725	1494	564
726	1496	562
727	1498	559
728	1500	557
729	1502	555
730	1504	553
731	1506	551
732	1508	549
733	1510	547
734	1512	545
735	1514	543
736	1517	541
737	1518	539
738	1520	537
739	1523	535
740	1524	532
741	1526	530
742	1528	528
743	1530	526
744	1532	524
745	1534	522
746	1537	520
747	1539	518
748	1541	516
749	1543	514
750	1545	512
751	1547	510
752	1549	508
753	1552	506
754	1554	504
755	1556	502
756	1558	500
757	1560	498
758	1562	496
759	1564	494
760	1566	491
761	1568	489
762	1570	487
763	1572	485
764	1574	483
765	1576	481
766	1578	479
767	1580	477
768	1582	475
769	1584	473
770	1586	471
771	1588	469
772	1590	467
773	1592	465
774	1594	463
775	1596	460
776	1599	458
777	1601	456
778	1603	454
779	1605	452
780	1607	450
781	1609	448
782	1611	446
783	1613	444
784	1615	442
785	1617	440
786	1619	438
787	1621	436
788	1623	434
789	1625	432
790	1627	430
791	1629	427
792	1631	425
793	1633	423
794	1635	421
795	1637	419
796	1639	417
797	1640	415
798	1642	413
799	1644	411
800	1646	409
801	1648	407
802	1650	404
803	1652	402
804	1654	400
805	1655	398
806	1658	396
807	1660	394
808	1662	392
809	1664	390
810	1666	388
811	1668	386
812	1669	384
813	1671	382
814	1674	380
815	1675	377
816	1677	375
817	1679	373
818	1681	371
819	1683	369
820	1684	367
821	1687	365
822	1689	363
823	1691	361
824	1693	359
825	1695	357
826	1697	355
827	1699	352
828	1700	350
829	1703	348
830	1705	346
831	1706	344
832	1708	342
833	1710	340
834	1712	338
835	1714	336
836	1716	334
837	1718	332
838	1720	330
839	1721	327
840	1723	325
841	1725	323
842	1727	321
843	1728	319
844	1730	317
845	1733	315
846	1734	313
847	1736	311
848	1738	309
849	1740	307
850	1742	305
851	1743	302
852	1745	300
853	1747	298
854	1749	296
855	1751	294
856	1753	292
857	1755	290
858	1757	288
859	1759	286
860	1761	284
861	1763	282
862	1765	280
863	1767	278
864	1769	276
865	1771	274
866	1772	271
867	1774	269
868	1776	267
869	1778	265
870	1780	263
871	1782	261
872	1784	259
873	1786	257
874	1788	255
875	1790	253
876	1793	251
877	1795	249
878	1797	247
879	1799	245
880	1801	243
881	1804	241
882	1806	239
883	1808	237
884	1810	235
885	1812	233
886	1814	231
887	1816	229
888	1818	227
889	1821	225
890	1823	223
891	1825	221
892	1827	218
893	1829	216
894	1831	214
895	1833	212
896	1836	210
897	1838	208
898	1840	206
899	1842	204
900	1844	202
901	1847	200
902	1849	198
903	1851	196
904	1853	194
905	1856	192
906	1858	190
907	1860	188
908	1862	186
909	1864	184
910	1866	182
911	1868	180
912	1871	178
913	1873	176
914	1875	174
915	1877	172
916	1879	170
917	1881	168
918	1883	165
919	1885	163
920	1887	161
921	1889	159
922	1891	157
923	1893	155
924	1894	153
925	1897	151
926	1899	149
927	1901	147
928	1903	145
929	1905	143
930	1907	141
931	1909	139
932	1911	137
933	1913	135
934	1915	133
935	1917	131
936	1919	129
937	1921	127
938	1923	124
939	1925	122
940	1927	120
941	1929	118
942	1931	116
943	1933	114
944	1934	112
945	1936	110
946	1938	108
947	1940	106
948	1942	104
949	1944	102
950	1946	100
951	1949	98
952	1951	96
953	1952	94
954	1954	92
955	1956	90
956	1958	88
957	1960	85
958	1962	83
959	1964	81
960	1966	79
961	1968	77
962	1969	75
963	1972	73
964	1974	71
965	1976	69
966	1978	67
967	1979	65
968	1981	63
969	1983	61
970	1985	59
971	1987	57
972	1989	55
973	1991	53
974	1993	51
975	1995	49
976	1996	47
977	1998	44
978	2000	42
979	2002	40
980	2004	38
981	2006	36
982	2008	34
983	2010	32
984	2011	30
985	2013	28
986	2015	26
987	2017	24
988	2019	22
989	2021	20
990	2023	18
991	2025	16
992	2026	14
993	2028	12
994	2030	10
995	2032	8
996	2034	6
997	2036	4
998	2038	2
999	2040	0
